1,1,5,2025-12-06 00:38:48
2,1,2,2025-12-06 00:38:48
3,1,3,2025-12-06 00:38:48
4,1,1,2025-12-06 00:38:48
8,2,5,2025-12-06 00:38:48
9,2,2,2025-12-06 00:38:48
10,2,4,2025-12-06 00:38:48
11,2,8,2025-12-06 00:38:48
12,2,6,2025-12-06 00:38:48
13,2,9,2025-12-06 00:38:48
14,2,3,2025-12-06 00:38:48
15,2,7,2025-12-06 00:38:48
16,2,10,2025-12-06 00:38:48
17,2,1,2025-12-06 00:38:48
23,3,5,2025-12-06 00:38:48
24,3,2,2025-12-06 00:38:48
25,3,4,2025-12-06 00:38:48
26,3,8,2025-12-06 00:38:48
27,3,6,2025-12-06 00:38:48
28,3,9,2025-12-06 00:38:48
29,3,3,2025-12-06 00:38:48
30,3,7,2025-12-06 00:38:48
31,3,10,2025-12-06 00:38:48
32,3,1,2025-12-06 00:38:48
